a.from_taz,a.to_taz,distance_car,sample_size_car,mean_car_tt,std_car_tt,distance_pt,sample_size_pt,mean_pt_tt,std_pt_tt,prc_pt,w,,
2,167,7.4,214,11,36,7.5,75,36,31,26,0.003617187,,
7,167,3.3,249,11,64,3.3,69,36,14,22,0.004208783,,
8,167,4.1,303,7,57,4.2,92,26,27,23,0.005121531,,
9,167,5.2,391,9,44,5.3,151,33,30,28,0.006608972,,
10,167,6.3,271,9,44,6.4,87,28,29,24,0.004580643,,
14,167,3.8,295,8,50,3.9,96,28,29,25,0.004986309,,
16,167,4.7,223,7,57,4.9,55,26,35,20,0.003769311,,
17,167,5.3,340,8,50,5.4,114,27,26,25,0.005746932,,
18,167,4.3,199,8,38,4.5,53,31,39,21,0.003363646,,
20,167,5.2,247,10,60,5.4,60,36,31,20,0.004174977,,
21,167,5.9,413,10,40,6,139,31,32,25,0.006980832,,
22,167,5.5,154,11,45,5.5,54,38,29,26,0.002603022,,
28,167,4.5,318,11,55,4.6,98,36,28,24,0.005375072,,
31,167,5.3,180,11,45,5.3,59,35,23,25,0.003042493,,
32,167,6,232,12,50,6,81,37,22,26,0.003921436,,
35,167,4.7,240,14,50,4.8,64,40,20,21,0.004056658,,
38,167,5.8,148,13,46,5.9,50,41,24,25,0.002501606,,
40,167,5.1,228,13,46,5.2,61,37,24,21,0.003853825,,
41,167,5.6,183,15,47,5.8,54,40,20,23,0.003093202,,
42,167,8.3,335,14,36,8.4,104,41,32,24,0.005662418,,
43,167,7.9,315,13,38,8,93,37,27,23,0.005324364,,
44,167,8.5,1027,14,43,8.6,277,38,26,21,0.017359116,,
45,167,9.2,983,16,31,9.3,253,37,19,20,0.016615395,,
47,167,9.1,358,16,31,9.2,102,40,25,22,0.006051182,,
48,167,9.7,231,19,37,9.8,67,50,26,22,0.003904533,,
49,167,9.8,539,19,32,10,122,42,21,18,0.009110578,,
50,167,9.9,432,16,44,10,112,45,24,21,0.007301984,,
51,167,7.2,357,11,45,7.5,104,31,19,23,0.006034279,,
52,167,7.7,235,12,50,7.7,71,35,26,23,0.003972144,,
53,167,7.7,362,11,45,7.7,119,33,27,25,0.006118792,,
55,167,8,312,11,36,7.9,98,32,28,24,0.005273655,,
56,167,8.2,346,14,43,8.3,100,41,27,22,0.005848349,,
57,167,8.3,296,12,42,8.4,83,33,30,22,0.005003212,,
58,167,8.8,339,12,33,8.8,93,29,24,22,0.005730029,,
59,167,8.7,430,13,38,8.7,115,35,26,21,0.007268179,,
60,167,9.1,519,16,38,9.2,128,39,21,20,0.008772523,,
61,167,9.7,367,15,47,9.8,93,43,26,20,0.006203306,,
63,167,8.9,297,15,33,8.9,68,35,23,19,0.005020114,,
64,167,8.2,307,13,46,8.4,81,39,28,21,0.005189142,,
65,167,10.3,449,16,44,10.3,92,40,25,17,0.007589331,,
67,167,10.3,299,21,29,10.4,61,40,13,17,0.00505392,,
68,167,10.5,464,18,39,10.6,121,45,22,21,0.007842872,,
74,167,11,396,16,44,11,100,43,23,20,0.006693486,,
75,167,11.3,227,15,47,11.4,66,41,20,23,0.003836922,,
76,167,11.3,255,18,39,11.5,62,45,20,20,0.004310199,,
96,167,12,286,23,39,12,62,52,15,18,0.004834184,,
104,167,13.5,232,20,20,13.6,61,40,23,21,0.003921436,,
106,167,10.4,259,15,47,10.4,53,40,23,17,0.00437781,,
127,167,4.4,415,14,50,4.4,121,39,21,23,0.007014638,,
128,167,4.6,333,14,43,4.6,81,38,24,20,0.005628613,,
129,167,4.4,521,17,47,4.5,127,43,16,20,0.008806328,,
132,167,3.8,691,14,43,3.8,158,36,19,19,0.011679794,,
133,167,3.5,351,14,50,3.6,101,40,20,22,0.005932862,,
134,167,2.9,379,12,50,2.9,92,32,13,20,0.006406139,,
135,167,2.8,282,11,45,2.8,67,28,11,19,0.004766573,,
136,167,2.8,719,10,50,2.9,194,27,19,21,0.012153071,,
137,167,3.6,463,13,46,3.6,110,34,18,19,0.007825969,,
138,167,3.5,545,12,50,3.5,139,33,18,20,0.009211994,,
139,167,3.5,582,12,50,3.6,169,37,22,23,0.009837396,,
140,167,3,467,13,54,3.1,100,33,12,18,0.00789358,,
141,167,3.7,679,14,43,3.7,183,37,22,21,0.011476962,,
142,167,3.8,269,13,38,3.8,74,32,19,22,0.004546837,,
143,167,4.1,459,16,44,4.3,135,44,16,23,0.007758358,,
144,167,3.8,200,13,38,3.8,51,34,24,20,0.003380548,,
148,167,1.8,223,8,50,1.9,53,21,10,19,0.003769311,,
150,167,2.4,473,10,50,2.4,107,27,15,18,0.007994997,,
151,167,2.5,350,8,63,2.5,97,25,16,22,0.00591596,,
152,167,2,684,9,56,2,140,24,13,17,0.011561475,,
164,167,2.5,821,7,57,2.5,252,25,20,23,0.013877151,,
174,167,5.9,161,13,46,5.8,56,35,20,26,0.002721341,,
176,167,5.1,346,15,47,5.1,83,44,23,19,0.005848349,,
179,167,4.3,346,12,50,4.4,90,33,21,21,0.005848349,,
180,167,3.7,199,10,40,3.7,58,28,25,23,0.003363646,,
181,167,3.6,222,12,50,3.6,65,35,17,23,0.003752409,,
183,167,3.4,208,13,38,3.5,52,32,16,20,0.00351577,,
184,167,3,367,13,46,3,86,33,15,19,0.006203306,,
185,167,2.4,302,9,44,2.5,89,24,17,23,0.005104628,,
187,167,2.8,236,11,55,2.8,62,30,13,21,0.003989047,,
189,167,7.6,405,12,42,7.6,85,29,21,17,0.00684561,,
192,167,8.3,200,12,50,8.3,50,31,19,20,0.003380548,,
194,167,8.9,331,13,46,9,64,36,31,16,0.005594807,,
195,167,8.8,397,17,47,8.9,89,47,21,18,0.006710388,,
196,167,8.4,298,15,47,8.4,62,40,23,17,0.005037017,,
198,167,9.4,207,18,39,9.4,61,48,23,23,0.003498868,,
204,167,10.8,230,24,33,10.8,57,61,21,20,0.003887631,,
220,167,8.3,325,11,55,8.4,81,36,28,20,0.005493391,,
255,167,9.3,317,13,54,9.4,77,37,19,20,0.005358169,,
256,167,9.8,260,14,50,9.9,56,39,18,18,0.004394713,,
257,167,10.3,213,15,40,10.4,66,50,28,24,0.003600284,,
265,167,11.5,273,19,37,11.6,62,46,22,19,0.004614448,,
266,167,12,304,22,32,12.1,74,47,17,20,0.005138433,,
267,167,11.7,232,21,29,11.8,52,44,23,18,0.003921436,,
274,167,12.9,378,25,32,13,98,58,22,21,0.006389236,,
275,167,12.2,359,25,32,12.3,80,53,15,18,0.006068084,,
328,167,16.1,217,26,31,16.1,54,58,24,20,0.003667895,,
355,167,7.1,458,26,35,7.1,100,58,17,18,0.007741456,,
356,167,7.9,321,23,39,8,75,54,19,19,0.00542578,,
365,167,9.5,404,27,44,9.5,102,70,20,20,0.006828708,,
367,167,8.8,612,24,42,8.8,157,63,22,20,0.010344478,,
372,167,7.3,643,22,36,7.5,166,54,20,21,0.010868463,,
373,167,7.4,312,22,45,7.5,66,55,18,17,0.005273655,,
374,167,6.5,389,21,38,6.6,80,46,13,17,0.006575166,,
379,167,5.4,414,19,42,5.5,89,45,13,18,0.006997735,,
384,167,5.7,258,18,44,5.7,78,56,23,23,0.004360907,,
385,167,4.8,541,16,44,4.8,125,42,19,19,0.009144383,,
386,167,4.1,434,18,44,4,110,47,15,20,0.00733579,,
387,167,4.9,443,17,41,5,92,38,11,17,0.007487915,,
389,167,5.7,228,20,40,5.7,52,49,20,19,0.003853825,,
391,167,6,275,16,38,6.1,82,44,23,23,0.004648254,,
392,167,6.3,183,19,37,6.3,50,49,20,21,0.003093202,,
400,167,7.5,421,22,36,7.6,112,57,23,21,0.007116054,,
410,167,8.2,208,19,42,8.3,74,53,23,26,0.00351577,,
414,167,8.6,211,19,42,8.6,61,56,23,22,0.003566478,,
415,167,9.1,256,17,35,9.2,86,48,27,25,0.004327102,,
421,167,9.6,266,22,32,9.6,57,48,19,18,0.004496129,,
422,167,9.6,332,17,35,9.6,104,45,22,24,0.00561171,,
423,167,8.9,256,18,33,8.9,68,39,13,21,0.004327102,,
424,167,9,266,20,40,9.1,78,47,17,23,0.004496129,,
434,167,9.6,238,18,33,9.5,63,46,30,21,0.004022853,,
439,167,11.2,234,23,39,11.1,58,57,18,20,0.003955242,,
627,167,8.3,612,30,33,8.4,120,63,16,16,0.010344478,,
628,167,8.2,399,25,40,8.2,86,56,16,18,0.006744194,,
631,167,8,250,24,38,8,67,59,19,21,0.004225685,,
636,167,8.2,266,21,43,8.2,54,56,21,17,0.004496129,,
637,167,8.7,396,22,36,8.7,69,49,16,15,0.006693486,,
639,167,9.5,195,21,38,9.6,57,52,19,23,0.003296035,,
643,167,9.4,259,22,41,9.5,61,53,19,19,0.00437781,,
652,167,11.6,364,24,42,11.5,104,67,22,22,0.006152598,,
655,167,19.7,554,38,29,19.8,129,76,14,19,0.009364119,,
656,167,20.9,332,45,27,21,82,93,17,20,0.00561171,,
664,167,20,481,31,32,20,113,65,17,19,0.008130219,,
667,167,19,308,25,28,19.1,70,55,25,19,0.005206044,,
668,167,19,296,27,30,19,60,59,22,17,0.005003212,,
669,167,18.5,325,26,27,18.6,77,54,20,19,0.005493391,,
673,167,18,328,27,26,18,68,50,14,17,0.005544099,,
674,167,18.4,417,27,30,18.6,85,58,17,17,0.007048443,,
677,167,17.5,239,25,28,17.6,68,61,23,22,0.004039755,,
680,167,15.2,206,27,33,15.2,63,68,22,23,0.003481965,,
681,167,15.4,188,25,36,15.5,58,68,26,24,0.003177715,,
682,167,14.6,273,24,33,14.4,72,58,17,21,0.004614448,,
683,167,14.7,330,25,40,14.7,95,69,23,22,0.005577905,,
685,167,15.1,358,23,35,15.2,78,53,23,18,0.006051182,,
688,167,13.7,208,19,37,13.7,62,55,18,23,0.00351577,,
689,167,14,419,20,40,14.1,114,56,29,21,0.007082249,,
690,167,13.7,239,21,38,13.7,57,54,22,19,0.004039755,,
692,167,12.2,514,22,36,12.3,136,59,22,21,0.008688009,,
695,167,16.1,340,28,32,16.3,90,69,23,21,0.005746932,,
698,167,18.4,379,26,31,18.5,107,64,27,22,0.006406139,,
702,167,16.2,340,30,30,16.3,79,65,23,19,0.005746932,,
703,167,16.4,907,29,34,16.4,191,66,21,17,0.015330787,,
705,167,15,359,22,36,15.1,96,55,24,21,0.006068084,,
706,167,14.4,205,19,37,14.4,65,48,23,24,0.003465062,,
707,167,13.5,477,19,37,13.6,146,54,26,23,0.008062608,,
710,167,16.2,238,24,42,16.3,84,69,20,26,0.004022853,,
720,167,17.5,261,30,33,17.6,68,73,19,21,0.004411616,,
844,167,14.4,383,34,26,14.5,98,72,19,20,0.00647375,,
845,167,13.1,460,28,32,13.2,125,62,18,21,0.007775261,,
870,167,15.5,230,31,23,15.6,61,67,25,21,0.003887631,,
872,167,13.6,550,32,28,13.6,147,70,21,21,0.009296508,,
873,167,14.7,277,38,26,14.9,62,78,18,18,0.004682059,,
965,167,11.5,401,25,32,11.7,95,55,24,19,0.006777999,,
976,167,10,313,33,39,10,98,88,18,24,0.005290558,,
985,167,19.1,275,48,33,19.1,63,107,18,19,0.004648254,,
986,167,19,237,52,33,19,57,109,19,19,0.00400595,,
1014,167,3.8,317,13,46,3.6,85,34,18,21,0.005358169,,
1038,167,9.6,262,16,38,9.6,66,44,27,20,0.004428518,,
1039,167,10.3,208,17,47,10.4,57,49,24,22,0.00351577,,
1040,167,9.7,547,14,43,9.7,141,39,23,20,0.0092458,,
2289,167,31.9,264,37,16,32,80,66,20,23,0.004462324,,
2290,167,30.8,252,39,28,31.1,59,86,22,19,0.004259491,,
,,,59162,,,,,,,,1,,
,,,,,,,,,,,,,
,,,,,,,,,,,weighted average,,20.52070586
,,,,,,,,,,,min,,15
,,,,,,,,,,,max,,28
